trip_id,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance,fare_amount
1,2025-01-01 00:00:00,2025-01-01 00:10:00,40.71523585398772,-73.99118614821359,40.617089967570045,-74.05057138059335,6.0,8.59,69.34
2,2025-01-01 00:05:00,2025-01-01 00:15:00,40.64800079468798,-73.95504382580005,40.744560349627314,-74.00236987253956,6.0,13.0,36.32
3,2025-01-01 00:10:00,2025-01-01 00:20:00,40.73752255979033,-74.07361353079169,40.69709839967924,-74.06731828653798,6.0,9.22,117.36
4,2025-01-01 00:15:00,2025-01-01 00:25:00,40.74702823581956,-74.01426490811937,40.67000454407688,-74.03576779607428,3.0,23.54,37.96
5,2025-01-01 00:20:00,2025-01-01 00:30:00,40.60244824056731,-73.95854233523104,40.68745912441198,-74.01220956756656,6.0,15.01,104.09
6,2025-01-01 00:25:00,2025-01-01 00:35:00,40.63489102465689,-73.99671999258287,40.75183853935205,-74.02109426769572,0.0,21.2,84.94
7,2025-01-01 00:30:00,2025-01-01 00:40:00,40.70639202015837,-73.92663330939612,40.736562025866256,-73.96365461988151,1.0,6.57,115.98
8,2025-01-01 00:35:00,2025-01-01 00:45:00,40.68418787038282,-74.07879616790935,40.69360382709973,-74.03689138087027,4.0,9.24,87.18
9,2025-01-01 00:40:00,2025-01-01 00:50:00,40.69915994212479,-74.0845000883973,40.64304462679654,-74.12349906223184,5.0,19.72,74.27
10,2025-01-01 00:45:00,2025-01-01 00:55:00,40.65734780362132,-73.96151567416887,40.64657277015442,-74.08428864546657,0.0,6.01,56.87
11,2025-01-01 00:50:00,2025-01-01 01:00:00,40.743969898743146,-73.95670963925336,40.73765150799623,-74.00089090677506,2.0,25.0,58.12
12,2025-01-01 00:55:00,2025-01-01 01:05:00,40.73888959677145,-74.00966250034159,40.636112878717285,-74.02934016350034,0.0,16.57,3.15
13,2025-01-01 01:00:00,2025-01-01 01:10:00,40.70330153487807,-73.97998027999772,40.694092275587785,-74.0618335865979,0.0,22.44,119.64
14,2025-01-01 01:05:00,2025-01-01 01:15:00,40.7563620603484,-73.96273965111843,40.834053606369,-73.90207743354553,0.0,2.79,69.41
15,2025-01-01 01:10:00,2025-01-01 01:20:00,40.72337546711261,-74.04069316029259,40.72297804191851,-73.95856249393069,6.0,10.46,71.68
16,2025-01-01 01:15:00,2025-01-01 01:25:00,40.65703537685584,-74.03534241875246,40.73711246019976,-74.00292135800716,6.0,8.53,24.11
17,2025-01-01 01:20:00,2025-01-01 01:30:00,40.718437539204125,-73.99051369104006,40.646948236406686,-73.98833513787504,4.0,24.28,53.54
18,2025-01-01 01:25:00,2025-01-01 01:35:00,40.65205586995855,-73.95479555200531,40.63863491719138,-74.01325705055035,0.0,3.79,28.63
19,2025-01-01 01:30:00,2025-01-01 01:40:00,40.74392251506536,-74.0582978463179,40.73979110185191,-74.06269076223477,5.0,18.75,28.6
20,2025-01-01 01:35:00,2025-01-01 01:45:00,40.69750370445069,-74.00989738159674,40.68588240055526,-73.94846398568046,3.0,15.84,67.06
21,2025-01-01 01:40:00,2025-01-01 01:50:00,40.69075688182274,-74.01221183158522,40.75868107407819,-73.95743349594456,5.0,21.31,31.18
22,2025-01-01 01:45:00,2025-01-01 01:55:00,40.66595352277981,-73.97910204474786,40.70715666188123,-74.0988666891536,3.0,24.44,80.99
23,2025-01-01 01:50:00,2025-01-01 02:00:00,40.7611270669337,-74.00043491850045,40.87781813927751,-73.9886783748942,0.0,20.19,47.07
24,2025-01-01 01:55:00,2025-01-01 02:05:00,40.69227352589656,-74.02729417919014,40.67638400923433,-73.98315838872112,6.0,6.45,47.07
25,2025-01-01 02:00:00,2025-01-01 02:10:00,40.67858360889185,-73.93757171096213,40.71945657645947,-74.01608656144279,6.0,20.89,85.16
26,2025-01-01 02:05:00,2025-01-01 02:15:00,40.68239332247559,-74.02696287408104,40.66029271687063,-73.89513673306843,6.0,13.26,81.47
27,2025-01-01 02:10:00,2025-01-01 02:20:00,40.72661545927767,-74.01460481815107,40.75660400053263,-73.90056276668703,4.0,16.4,50.23
28,2025-01-01 02:15:00,2025-01-01 02:25:00,40.718272203218206,-74.07957488179598,40.72702561969372,-74.01887539826238,6.0,7.15,111.82
29,2025-01-01 02:20:00,2025-01-01 02:30:00,40.72063663057981,-74.03568129384229,40.65694050732929,-74.0111409605247,0.0,20.44,41.41
30,2025-01-01 02:25:00,2025-01-01 02:35:00,40.7215410501504,-73.97419619618304,40.68913575529433,-74.01701352157046,2.0,11.22,87.05
31,2025-01-01 02:30:00,2025-01-01 02:40:00,40.807082380043525,-73.98396990218225,40.77359173867503,-74.03056661865236,2.0,20.25,95.86
32,2025-01-01 02:35:00,2025-01-01 02:45:00,40.67967924918077,-73.97002415049671,40.76758545526862,-74.04603802562802,3.0,10.8,28.54
33,2025-01-01 02:40:00,2025-01-01 02:50:00,40.67438786354643,-73.97245088570271,40.63428021803672,-73.9746571444154,0.0,15.49,58.48
34,2025-01-01 02:45:00,2025-01-01 02:55:00,40.65931136358761,-73.89561429818524,40.681701517813394,-73.90192792816372,5.0,2.75,5.45
35,2025-01-01 02:50:00,2025-01-01 03:00:00,40.73079897112878,-74.03739294137235,40.79606983781485,-73.92249590550523,2.0,2.49,41.62
36,2025-01-01 02:55:00,2025-01-01 03:05:00,40.75644861463605,-74.08097118717174,40.69664110996526,-73.96054115025466,0.0,23.83,34.59
37,2025-01-01 03:00:00,2025-01-01 03:10:00,40.69430262711726,-74.05252764980358,40.71417112572747,-74.12035559589843,1.0,18.21,93.26
38,2025-01-01 03:05:00,2025-01-01 03:15:00,40.65799217615188,-74.03518259179158,40.75634659583301,-74.09322747416961,0.0,4.48,28.82
39,2025-01-01 03:10:00,2025-01-01 03:20:00,40.65877593921544,-74.04871634683084,40.63839191468508,-73.94679183467524,4.0,15.02,5.98
40,2025-01-01 03:15:00,2025-01-01 03:25:00,40.73252963939124,-73.99531695761776,40.658015125128536,-73.91903132760356,6.0,19.57,5.77
41,2025-01-01 03:20:00,2025-01-01 03:30:00,40.73716270856018,-73.93736725472215,40.68881504583917,-73.97231326879886,0.0,15.05,92.35
42,2025-01-01 03:25:00,2025-01-01 03:35:00,40.72715771341526,-73.9230170463515,40.76523118099277,-74.01527901575251,0.0,11.32,19.77
43,2025-01-01 03:30:00,2025-01-01 03:40:00,40.66672451463557,-73.97478457490767,40.75598826741262,-73.9323849495302,6.0,20.91,78.35
44,2025-01-01 03:35:00,2025-01-01 03:45:00,40.71160806615334,-73.8929363892273,40.74098831835936,-73.96232031140606,2.0,1.46,26.58
45,2025-01-01 03:40:00,2025-01-01 03:50:00,40.70583429045704,-74.01781865282832,40.69804200256647,-73.94312773596333,0.0,15.91,28.93
46,2025-01-01 03:45:00,2025-01-01 03:55:00,40.710934429836456,-74.08162595210013,40.76147848688399,-74.09282845536308,1.0,11.93,97.35
47,2025-01-01 03:50:00,2025-01-01 04:00:00,40.74357143889741,-73.9473410966056,40.69736773845808,-73.98283300439842,4.0,16.27,82.8
48,2025-01-01 03:55:00,2025-01-01 04:05:00,40.71117977743874,-74.09192971958745,40.73389840061862,-73.91127144264333,0.0,7.4,79.58
49,2025-01-01 04:00:00,2025-01-01 04:10:00,40.7339456781536,-74.03775015113499,40.75060194876973,-73.97362757847668,2.0,4.23,111.65
50,2025-01-01 04:05:00,2025-01-01 04:15:00,40.70337895347445,-73.97399438837886,40.789841003375535,-73.95258776341886,6.0,24.36,104.81
51,2025-01-01 04:10:00,2025-01-01 04:20:00,40.714455969934505,-74.00511907400244,40.70218377077091,-73.99818135447474,3.0,21.63,102.08
